ID,What is your age range?,What is your gender?,What is your education level?,What is your employment status?,What is your occupation? (optional),How often do you use technological devices?,How much knowledge do you have about artificial intelligence (AI) technologies?,Do you generally trust artificial intelligence (AI)?,Do you think artificial intelligence (AI) will be generally beneficial or harmful to humanity?,Please rate how actively you use AI-powered products in your daily life on a scale from 1 to 5.,Would you like to use more AI products in the future?,I think artificial intelligence (AI) could threaten individual freedoms.,Could artificial intelligence (AI) completely eliminate some professions?,Do you think your own job could be affected by artificial intelligence (AI)?,Do you believe that artificial intelligence (AI) should be limited by ethical rules?,Could artificial intelligence (AI) one day become conscious like humans?,Which of the following do you think is NOT an artificial intelligence (AI) application?,Which of the following is a machine learning algorithm used in the field of artificial intelligence?,The artificial intelligence application called 'ChatGPT' is an example of which type of AI system?,device_hours_score,knowledge_score,trust_score,beneficial_score,ai_usage_score,future_intent_score,threat_freedoms_score,job_elimination_score,personal_job_threat_score,ethical_constraints_score,consciousness_score,q1_correct,q2_correct,q3_correct,device_hours_normalized,tech_comfort_level,ai_literacy_score,trust_index,anxiety_index,trust_anxiety_gap,trust_anxiety_balance,attitude_category,indifference_rate,knowledge_confidence_gap,literacy_perception_gap,self_awareness_category,response_consistency_score
106,35-44,Female,Master's degree or higher,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I would like to,Agree,Removes,Think,Strongly Agree,Can't,WhatsApp,Game algorithm,Natural language processing,3.5,5.0,5.0,5.0,4.0,7.5,7.5,7.5,7.5,10.0,2.5,1,0,1,2.916666666666667,3.458333333333333,6.666666666666666,5.833333333333333,6.25,-0.4166666666666669,4.791666666666666,Moderate,0.0,0.0,-1.666666666666666,Realistic,10.0
107,35-44,Male,Bachelor's degree,Employed,engineer,More than 10 hours per day,I've heard a little about it,I don't trust it,More beneficial than harmful,1,I would like to,Agree,Removes,Think,Agree,Becomes,WhatsApp,I do not know,I do not know,10.0,2.5,2.5,7.5,2.0,7.5,7.5,7.5,7.5,7.5,7.5,1,0,0,10.0,6.0,3.333333333333333,5.833333333333333,7.5,-1.666666666666667,4.166666666666666,Moderate,15.384615384615383,0.0,-0.833333333333333,Realistic,8.5
108,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,3,I'm undecided,Strongly disagree,Removes,Think,Agree,Becomes,WhatsApp,I do not know,Natural language processing,7.5,5.0,2.5,5.0,6.0,5.0,0.0,7.5,7.5,7.5,7.5,1,0,1,6.25,6.125,6.666666666666666,4.166666666666667,5.625,-1.458333333333333,4.270833333333334,Moderate,7.6923076923076925,-2.5,-1.666666666666666,Realistic,10.0
109,45 years and older,Female,Master's degree or higher,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,More harmful than beneficial,3,I'm undecided,Agree,Removes,Think,Agree,I'm undecided,WhatsApp,Game algorithm,Web browser,3.5,5.0,2.5,2.5,6.0,5.0,7.5,7.5,7.5,7.5,5.0,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,3.333333333333333,6.875,-3.5416666666666665,3.229166666666667,Resister,0.0,-2.5,1.666666666666667,Realistic,10.0
110,35-44,Female,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I have basic knowledge,I don't trust it,More harmful than beneficial,1,I'm undecided,Strongly Agree,Removes,I don't think so,Strongly Agree,Can't,WhatsApp,I do not know,Natural language processing,1.0,5.0,2.5,2.5,2.0,5.0,10.0,7.5,2.5,10.0,2.5,1,0,1,0.8333333333333333,1.4166666666666663,6.666666666666666,3.333333333333333,5.625,-2.2916666666666665,3.854166666666667,Moderate,7.6923076923076925,-2.5,-1.666666666666666,Realistic,10.0
111,45 years and older,Male,Master's degree or higher,Employed,Teacher,Between 0 to 2 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,2,I would like to,I'm undecided,Removes,Think,Strongly Agree,Becomes,Netflix recommendations,I do not know,Web browser,1.0,2.5,5.0,5.0,4.0,7.5,5.0,7.5,7.5,10.0,7.5,0,0,0,0.8333333333333333,2.4166666666666665,0.0,5.833333333333333,6.875,-1.041666666666667,4.479166666666666,Moderate,7.6923076923076925,2.5,2.5,Overconfident,10.0
112,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,3,I'm undecided,Agree,Removes,Think,Strongly Agree,Becomes,WhatsApp,Linear regression,Web browser,3.5,5.0,2.5,5.0,6.0,5.0,7.5,7.5,7.5,10.0,7.5,1,1,0,2.916666666666667,4.458333333333334,6.666666666666666,4.166666666666667,7.5,-3.333333333333333,3.333333333333333,Moderate,0.0,-2.5,-1.666666666666666,Realistic,10.0
113,25-34,Female,Bachelor's degree,Employed,engineer,Between 2 to 5 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,2,I'm undecided,Agree,Removes,I don't think so,Strongly Agree,It certainly can't be,WhatsApp,I do not know,Web browser,3.5,2.5,2.5,5.0,4.0,5.0,7.5,7.5,2.5,10.0,0.0,1,0,0,2.916666666666667,3.458333333333333,3.333333333333333,4.166666666666667,4.375,-0.208333333333333,4.895833333333334,Moderate,7.6923076923076925,0.0,-0.833333333333333,Realistic,10.0
114,45 years and older,Female,Master's degree or higher,Employed,Teacher,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I'm undecided,I'm undecided,I have no idea,I don't think so,Strongly Agree,Becomes,WhatsApp,Game algorithm,Web browser,1.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.5,10.0,7.5,1,0,0,0.8333333333333333,1.4166666666666663,3.333333333333333,5.0,5.0,0.0,5.0,Moderate,7.6923076923076925,0.0,1.666666666666667,Realistic,10.0
115,45 years and older,Male,Master's degree or higher,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,More harmful than beneficial,2,I would not like to,Strongly Agree,Removes,I don't think so,Strongly Agree,Becomes,WhatsApp,Game algorithm,Web browser,3.5,5.0,2.5,2.5,4.0,2.5,10.0,7.5,2.5,10.0,7.5,1,0,0,2.916666666666667,3.458333333333333,3.333333333333333,2.5,6.875,-4.375,2.8125,Resister,0.0,-2.5,1.666666666666667,Realistic,10.0
116,Under 18 years old,Female,High school,Employed,Not specified,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,Agree,Removes,I'm undecided,Agree,Becomes,WhatsApp,Game algorithm,Web browser,1.0,5.0,5.0,5.0,6.0,5.0,7.5,7.5,5.0,7.5,7.5,1,0,0,0.8333333333333333,3.4166666666666665,3.333333333333333,5.0,6.875,-1.875,4.0625,Moderate,0.0,0.0,1.666666666666667,Realistic,10.0
117,25-34,Female,Bachelor's degree,Employed,engineer,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,1,I'm undecided,Agree,Removes,I don't think so,Agree,I'm undecided,WhatsApp,Game algorithm,Web browser,7.5,5.0,2.5,5.0,2.0,5.0,7.5,7.5,2.5,7.5,5.0,1,0,0,6.25,4.125,3.333333333333333,4.166666666666667,5.625,-1.458333333333333,4.270833333333334,Moderate,0.0,-2.5,1.666666666666667,Realistic,10.0
118,25-34,Female,Bachelor's degree,Employed,engineer,Between 5 to 10 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,1,I'm undecided,Agree,Removes,I don't think so,Agree,Becomes,WhatsApp,I do not know,Natural language processing,7.5,2.5,2.5,5.0,2.0,5.0,7.5,7.5,2.5,7.5,7.5,1,0,1,6.25,4.125,6.666666666666666,4.166666666666667,6.25,-2.083333333333333,3.9583333333333335,Moderate,7.6923076923076925,0.0,-4.166666666666666,Underconfident,10.0
119,35-44,Female,High school,Employed,Not specified,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,2,I'm undecided,I'm undecided,Removes,I don't think so,I'm undecided,Can't,WhatsApp,I do not know,Web browser,3.5,5.0,7.5,5.0,4.0,5.0,5.0,7.5,2.5,5.0,2.5,1,0,0,2.916666666666667,3.458333333333333,3.333333333333333,5.833333333333333,4.375,1.458333333333333,5.729166666666666,Moderate,7.6923076923076925,2.5,1.666666666666667,Realistic,10.0
120,35-44,Female,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,3,I would like to,Agree,Removes,I don't think so,Strongly Agree,Can't,WhatsApp,Game algorithm,I do not know,3.5,5.0,7.5,5.0,6.0,7.5,7.5,7.5,2.5,10.0,2.5,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,6.666666666666667,5.0,1.666666666666667,5.833333333333334,Moderate,7.6923076923076925,2.5,1.666666666666667,Realistic,10.0
121,45 years and older,Male,High school,Employed,Sigortacý,Between 5 to 10 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,1,I'm undecided,I'm undecided,Removes,I don't think so,Strongly Agree,Becomes,I do not know,I do not know,Image processing,7.5,2.5,5.0,5.0,2.0,5.0,5.0,7.5,2.5,10.0,7.5,0,0,0,6.25,4.125,0.0,5.0,5.625,-0.625,4.6875,Moderate,15.384615384615383,2.5,2.5,Overconfident,10.0
122,25-34,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,More harmful than beneficial,3,I would like to,I'm undecided,Absolutely Can't handle it,I don't think so,Agree,I'm undecided,WhatsApp,Excel,Web browser,3.5,5.0,2.5,2.5,6.0,7.5,5.0,0.0,2.5,7.5,5.0,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,4.166666666666667,3.125,1.041666666666667,5.520833333333334,Moderate,0.0,-2.5,1.666666666666667,Realistic,8.5
123,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,2,I would like to,Agree,Removes,Think,Agree,Becomes,WhatsApp,Game algorithm,Oyun geliþtirme,1.0,2.5,5.0,5.0,4.0,7.5,7.5,7.5,7.5,7.5,7.5,1,0,0,0.8333333333333333,2.4166666666666665,3.333333333333333,5.833333333333333,7.5,-1.666666666666667,4.166666666666666,Moderate,0.0,2.5,-0.833333333333333,Realistic,10.0
124,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I would not like to,Agree,Removes,Think,Agree,Becomes,I do not know,I do not know,I do not know,1.0,5.0,5.0,5.0,2.0,2.5,7.5,7.5,7.5,7.5,7.5,0,0,0,0.8333333333333333,1.4166666666666663,0.0,4.166666666666667,7.5,-3.333333333333333,3.333333333333333,Moderate,23.07692307692308,0.0,5.0,Overconfident,10.0
125,25-34,Male,Associate degree,Employed,Not specified,More than 10 hours per day,I have a good level of knowledge,I fully trust it,Both beneficial and harmful,1,I would like to,I disagree,Definitely Removes,Think,Agree,Becomes,WhatsApp,Linear regression,Natural language processing,10.0,7.5,10.0,5.0,2.0,7.5,2.5,10.0,7.5,7.5,7.5,1,1,1,10.0,6.0,10.0,7.5,6.875,0.625,5.3125,Cautious,0.0,2.5,-2.5,Underconfident,10.0
126,25-34,Female,Bachelor's degree,Employed,Teacher,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,4,I would like to,Agree,Removes,Think,Agree,I'm undecided,WhatsApp,I do not know,I do not know,7.5,5.0,5.0,5.0,8.0,7.5,7.5,7.5,7.5,7.5,5.0,1,0,0,6.25,7.125,3.333333333333333,5.833333333333333,6.875,-1.041666666666667,4.479166666666666,Moderate,15.384615384615383,0.0,1.666666666666667,Realistic,10.0
127,25-34,Female,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,1,I'm undecided,Agree,Removes,I definitely think,Agree,Becomes,WhatsApp,Game algorithm,Natural language processing,1.0,5.0,2.5,5.0,2.0,5.0,7.5,7.5,10.0,7.5,7.5,1,0,1,0.8333333333333333,1.4166666666666663,6.666666666666666,4.166666666666667,8.125,-3.958333333333333,3.020833333333333,Moderate,0.0,-2.5,-1.666666666666666,Realistic,10.0
128,25-34,Female,Bachelor's degree,Employed,Teacher,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it at all,More harmful than beneficial,1,I would not like to,Strongly Agree,Removes,Think,Agree,It certainly can't be,WhatsApp,Game algorithm,Image processing,7.5,5.0,0.0,2.5,2.0,2.5,10.0,7.5,7.5,7.5,0.0,1,0,0,6.25,4.125,3.333333333333333,1.6666666666666667,6.25,-4.583333333333333,2.708333333333333,Resister,0.0,-5.0,1.666666666666667,Realistic,10.0
129,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I'm undecided,Agree,Removes,I definitely think,I'm undecided,Can't,Netflix recommendations,I do not know,I do not know,1.0,5.0,5.0,5.0,4.0,5.0,7.5,7.5,10.0,5.0,2.5,0,0,0,0.8333333333333333,2.4166666666666665,0.0,5.0,6.875,-1.875,4.0625,Moderate,15.384615384615383,0.0,5.0,Overconfident,10.0
130,25-34,Female,Bachelor's degree,Employed,Civil servant,More than 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,3,"Definitely, I would like to",I disagree,Can't handle it,Definitely I don't think so,Strongly Agree,It certainly can't be,WhatsApp,HTML,I do not know,10.0,7.5,7.5,5.0,6.0,10.0,2.5,2.5,0.0,10.0,0.0,1,0,0,10.0,8.0,3.333333333333333,7.5,1.25,6.25,8.125,Optimist,7.6923076923076925,0.0,4.166666666666667,Overconfident,10.0
131,45 years and older,Female,Master's degree or higher,Employed,Teacher,Between 5 to 10 hours per day,I have basic knowledge,I trust it,More beneficial than harmful,1,I'm undecided,Agree,Definitely Removes,Think,Strongly Agree,I'm undecided,WhatsApp,Game algorithm,Web browser,7.5,5.0,7.5,7.5,2.0,5.0,7.5,10.0,7.5,10.0,5.0,1,0,0,6.25,4.125,3.333333333333333,6.666666666666667,7.5,-0.833333333333333,4.583333333333334,Cautious,0.0,2.5,1.666666666666667,Realistic,8.5
132,35-44,Female,Master's degree or higher,Employed,Teacher,Between 2 to 5 hours per day,I have no knowledge,I'm undecided,Both beneficial and harmful,2,I would not like to,I'm undecided,Absolutely Can't handle it,Definitely I don't think so,Strongly Agree,It certainly can't be,Netflix recommendations,I do not know,Web browser,3.5,0.0,5.0,5.0,4.0,2.5,5.0,0.0,0.0,10.0,0.0,0,0,0,2.916666666666667,3.458333333333333,0.0,4.166666666666667,1.25,2.916666666666667,6.458333333333334,Moderate,15.384615384615383,5.0,0.0,Realistic,10.0
133,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,1,I'm undecided,Agree,Removes,I'm undecided,Agree,Becomes,WhatsApp,I do not know,Natural language processing,3.5,5.0,2.5,5.0,2.0,5.0,7.5,7.5,5.0,7.5,7.5,1,0,1,2.916666666666667,2.458333333333333,6.666666666666666,4.166666666666667,6.875,-2.708333333333333,3.6458333333333335,Moderate,7.6923076923076925,-2.5,-1.666666666666666,Realistic,10.0
134,35-44,Female,Master's degree or higher,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,2,I would not like to,I'm undecided,Removes,Think,Strongly Agree,Becomes,WhatsApp,Game algorithm,Web browser,3.5,5.0,2.5,5.0,4.0,2.5,5.0,7.5,7.5,10.0,7.5,1,0,0,2.916666666666667,3.458333333333333,3.333333333333333,3.333333333333333,6.875,-3.5416666666666665,3.229166666666667,Resister,0.0,-2.5,1.666666666666667,Realistic,10.0
135,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,Agree,Removes,Think,Agree,Becomes,Netflix recommendations,I do not know,Natural language processing,3.5,5.0,5.0,5.0,6.0,5.0,7.5,7.5,7.5,7.5,7.5,0,0,1,2.916666666666667,4.458333333333334,3.333333333333333,5.0,7.5,-2.5,3.75,Moderate,7.6923076923076925,0.0,1.666666666666667,Realistic,10.0
136,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,2,I'm undecided,Agree,Removes,I don't think so,Agree,Can't,Netflix recommendations,Game algorithm,Web browser,3.5,5.0,2.5,5.0,4.0,5.0,7.5,7.5,2.5,7.5,2.5,0,0,0,2.916666666666667,3.458333333333333,0.0,4.166666666666667,5.0,-0.833333333333333,4.583333333333334,Moderate,0.0,-2.5,5.0,Overconfident,10.0
137,25-34,Female,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I'm undecided,Agree,Removes,Think,Strongly Agree,I'm undecided,WhatsApp,Game algorithm,Web browser,1.0,5.0,5.0,5.0,2.0,5.0,7.5,7.5,7.5,10.0,5.0,1,0,0,0.8333333333333333,1.4166666666666663,3.333333333333333,5.0,6.875,-1.875,4.0625,Moderate,0.0,0.0,1.666666666666667,Realistic,10.0
138,18-24,Male,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,More harmful than beneficial,2,I'm undecided,I'm undecided,Removes,I'm undecided,Agree,Becomes,WhatsApp,HTML,Natural language processing,3.5,5.0,2.5,2.5,4.0,5.0,5.0,7.5,5.0,7.5,7.5,1,0,1,2.916666666666667,3.458333333333333,6.666666666666666,3.333333333333333,6.25,-2.9166666666666665,3.541666666666667,Resister,0.0,-2.5,-1.666666666666666,Realistic,10.0
139,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I would like to,Agree,Removes,I'm undecided,Agree,Can't,Netflix recommendations,HTML,Image processing,7.5,5.0,5.0,5.0,4.0,7.5,7.5,7.5,5.0,7.5,2.5,0,0,0,6.25,5.125,0.0,5.833333333333333,5.625,0.208333333333333,5.104166666666666,Moderate,0.0,0.0,5.0,Overconfident,10.0
140,18-24,Male,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,I'm undecided,Removes,Think,Agree,Becomes,WhatsApp,Linear regression,I do not know,3.5,5.0,5.0,5.0,6.0,7.5,5.0,7.5,7.5,7.5,7.5,1,1,0,2.916666666666667,4.458333333333334,6.666666666666666,5.833333333333333,6.875,-1.041666666666667,4.479166666666666,Moderate,7.6923076923076925,0.0,-1.666666666666666,Realistic,10.0
141,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I trust it,More beneficial than harmful,3,I would like to,Agree,Removes,Think,Strongly Agree,It certainly can't be,WhatsApp,Game algorithm,Web browser,3.5,5.0,7.5,7.5,6.0,7.5,7.5,7.5,7.5,10.0,0.0,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,7.5,5.625,1.875,5.9375,Moderate,0.0,2.5,1.666666666666667,Realistic,10.0
142,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I've heard a little about it,I trust it,Both beneficial and harmful,1,I would like to,Strongly disagree,Removes,Definitely I don't think so,Strongly Agree,Becomes,WhatsApp,I do not know,I do not know,1.0,2.5,7.5,5.0,2.0,7.5,0.0,7.5,0.0,10.0,7.5,1,0,0,0.8333333333333333,1.4166666666666663,3.333333333333333,6.666666666666667,3.75,2.916666666666667,6.458333333333334,Optimist,15.384615384615383,5.0,-0.833333333333333,Realistic,10.0
143,18-24,Female,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I'm undecided,Agree,Definitely Removes,Think,Strongly Agree,Becomes,WhatsApp,Linear regression,Web browser,3.5,5.0,5.0,5.0,4.0,5.0,7.5,10.0,7.5,10.0,7.5,1,1,0,2.916666666666667,3.458333333333333,6.666666666666666,5.0,8.125,-3.125,3.4375,Moderate,0.0,0.0,-1.666666666666666,Realistic,10.0
144,18-24,Male,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,4,I'm undecided,Agree,Definitely Removes,I don't think so,Agree,Can't,Netflix recommendations,I do not know,Web browser,7.5,5.0,7.5,5.0,8.0,5.0,7.5,10.0,2.5,7.5,2.5,0,0,0,6.25,7.125,0.0,5.833333333333333,5.625,0.208333333333333,5.104166666666666,Moderate,7.6923076923076925,2.5,5.0,Overconfident,10.0
145,18-24,Female,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,4,"Definitely, I would like to",I disagree,Removes,I definitely think,Agree,Becomes,WhatsApp,I do not know,Oyun geliþtirme,7.5,7.5,7.5,5.0,8.0,10.0,2.5,7.5,10.0,7.5,7.5,1,0,0,6.25,7.125,3.333333333333333,7.5,6.875,0.625,5.3125,Cautious,7.6923076923076925,0.0,4.166666666666667,Overconfident,10.0
146,45 years and older,Female,Master's degree or higher,Retired,Chemist,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,1,I'm undecided,I disagree,Removes,Think,Agree,Becomes,WhatsApp,I do not know,Web browser,3.5,2.5,5.0,5.0,2.0,5.0,2.5,7.5,7.5,7.5,7.5,1,0,0,2.916666666666667,2.458333333333333,3.333333333333333,5.0,6.25,-1.25,4.375,Moderate,7.6923076923076925,2.5,-0.833333333333333,Realistic,10.0
147,18-24,Male,Bachelor's degree,Student,engineer,More than 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,I disagree,Absolutely Can't handle it,Definitely I don't think so,I disagree,Can't,ChatGPT,HTML,Image processing,10.0,5.0,5.0,5.0,6.0,5.0,2.5,0.0,0.0,2.5,2.5,0,0,0,10.0,8.0,0.0,5.0,1.25,3.75,6.875,Moderate,0.0,0.0,5.0,Overconfident,10.0
148,18-24,Male,Bachelor's degree,Student,Student,More than 10 hours per day,I have basic knowledge,I'm undecided,More beneficial than harmful,1,"Definitely, I would not like to",Strongly disagree,Definitely Removes,Definitely I don't think so,I'm undecided,I'm undecided,WhatsApp,Linear regression,Natural language processing,10.0,5.0,5.0,7.5,2.0,0.0,0.0,10.0,0.0,5.0,5.0,1,1,1,10.0,6.0,10.0,4.166666666666667,3.75,0.4166666666666669,5.208333333333334,Moderate,0.0,0.0,-5.0,Underconfident,8.5
149,45 years and older,Female,Primary education,Unemployed,Housewife,I never use it,I have no knowledge,I'm undecided,Both beneficial and harmful,1,"Definitely, I would not like to",Strongly Agree,I have no idea,I don't think so,Agree,I'm undecided,I do not know,I do not know,I do not know,0.0,0.0,5.0,5.0,2.0,0.0,10.0,5.0,2.5,7.5,5.0,0,0,0,0.0,1.0,0.0,3.333333333333333,5.625,-2.2916666666666665,3.854166666666667,Moderate,38.46153846153847,5.0,0.0,Realistic,10.0
150,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,Agree,Removes,Think,Agree,Can't,WhatsApp,I do not know,Web browser,3.5,5.0,5.0,5.0,6.0,7.5,7.5,7.5,7.5,7.5,2.5,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,5.833333333333333,6.25,-0.4166666666666669,4.791666666666666,Moderate,7.6923076923076925,0.0,1.666666666666667,Realistic,10.0
151,45 years and older,Female,Associate degree,Unemployed,Accounting,Between 5 to 10 hours per day,I have no knowledge,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Removes,I don't think so,Agree,Becomes,I do not know,I do not know,I do not know,7.5,0.0,5.0,5.0,2.0,7.5,7.5,7.5,2.5,7.5,7.5,0,0,0,6.25,4.125,0.0,5.833333333333333,6.25,-0.4166666666666669,4.791666666666666,Moderate,30.76923076923077,5.0,0.0,Realistic,10.0
152,18-24,Male,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,2,I would not like to,I disagree,Removes,I don't think so,I'm undecided,It certainly can't be,WhatsApp,Linear regression,Natural language processing,3.5,5.0,7.5,5.0,4.0,2.5,2.5,7.5,2.5,5.0,0.0,1,1,1,2.916666666666667,3.458333333333333,10.0,5.0,3.125,1.875,5.9375,Moderate,0.0,2.5,-5.0,Underconfident,10.0
153,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I'm undecided,Agree,Definitely Removes,Think,Agree,Can't,WhatsApp,Game algorithm,Web browser,1.0,5.0,5.0,5.0,2.0,5.0,7.5,10.0,7.5,7.5,2.5,1,0,0,0.8333333333333333,1.4166666666666663,3.333333333333333,5.0,6.875,-1.875,4.0625,Moderate,0.0,0.0,1.666666666666667,Realistic,10.0
154,25-34,Female,Bachelor's degree,Employed,Teacher,More than 10 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,3,I would like to,Strongly Agree,Definitely Removes,I definitely think,Strongly Agree,Becomes,WhatsApp,HTML,Web browser,10.0,5.0,7.5,5.0,6.0,7.5,10.0,10.0,10.0,10.0,7.5,1,0,0,10.0,8.0,3.333333333333333,6.666666666666667,9.375,-2.708333333333333,3.6458333333333335,Cautious,0.0,2.5,1.666666666666667,Realistic,8.5
155,18-24,Male,High school,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I'm undecided,I'm undecided,Removes,I don't think so,Strongly Agree,Becomes,Netflix recommendations,Game algorithm,Natural language processing,7.5,5.0,5.0,5.0,4.0,5.0,5.0,7.5,2.5,10.0,7.5,0,0,1,6.25,5.125,3.333333333333333,5.0,5.625,-0.625,4.6875,Moderate,0.0,0.0,1.666666666666667,Realistic,10.0
156,18-24,Female,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,2,I'm undecided,I'm undecided,Can't handle it,I don't think so,Agree,Can't,WhatsApp,Linear regression,Natural language processing,3.5,7.5,7.5,5.0,4.0,5.0,5.0,2.5,2.5,7.5,2.5,1,1,1,2.916666666666667,3.458333333333333,10.0,5.833333333333333,3.125,2.708333333333333,6.354166666666666,Moderate,0.0,0.0,-2.5,Underconfident,10.0
157,35-44,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Removes,Think,Strongly Agree,Becomes,I do not know,I do not know,Natural language processing,3.5,5.0,5.0,5.0,2.0,7.5,7.5,7.5,7.5,10.0,7.5,0,0,1,2.916666666666667,2.458333333333333,3.333333333333333,5.833333333333333,7.5,-1.666666666666667,4.166666666666666,Moderate,15.384615384615383,0.0,1.666666666666667,Realistic,10.0
158,18-24,Female,Associate degree,Unemployed,Unemployed,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,2,I'm undecided,I'm undecided,Removes,I'm undecided,Agree,I'm undecided,WhatsApp,Excel,Natural language processing,3.5,2.5,5.0,5.0,4.0,5.0,5.0,7.5,5.0,7.5,5.0,1,0,1,2.916666666666667,3.458333333333333,6.666666666666666,5.0,5.625,-0.625,4.6875,Moderate,0.0,2.5,-4.166666666666666,Underconfident,10.0
